Tian Shan,2022
Shan Long,2021
Feuer Seele,2021
Ghost Night,2021
Noche Reina,2021
Light Ghost,2021
Dragon Light Battle Queen,2023
Battle King,2023
Pyar Khwaab Zindagi,2022
Unmei Yoru Ken Yurei,2021
Bitnaneun Sarangi Chueok Haneul,2021
Night Dream,2022
Secret Ombre Feu Rêve,2021
Secret Lumière Étoile,2023
River King Fire Path,2023
Shadow Night Fire,2022
Fuego Batalla Sombras,2021
Umutsuz Yol Kral Gölge,2023
Dragon Whisper Queen Light,2022
Rüya Umutsuz,2022
Lumière Liberté,2023
